"User_id","Embeddings"
988,"[0.15906705 0.         0.         0.         0.75433177 2.678925
 0.         0.8973143  0.6606742  1.323929   2.9562683  0.
 0.         0.         0.         0.         0.533181   1.8554971
 3.323069   2.5844686  1.2375174  1.0541093  2.8691597  0.8123616
 1.0661161  0.91682947 2.6358209  0.         1.7705454  1.589219
 1.0828657  2.0598292 ]"
1000,"[0.7625446  0.         0.         0.         1.7764566  2.508898
 0.         0.53301746 1.6136652  1.1351413  1.1310163  0.
 0.         0.         0.         0.         2.777426   1.5000877
 2.3501866  1.3780673  1.8389019  0.13682428 1.2296627  1.1608684
 1.5351784  1.0838058  1.7777579  0.         0.85775244 1.2456691
 1.4562548  2.075714  ]"
1001,"[1.2748969  0.         0.         0.         2.982583   2.4938529
 0.         2.516884   2.6794558  1.0517166  2.5752037  0.
 0.         0.         0.         0.         1.9473839  1.2276914
 2.2458358  3.160081   2.4091008  2.5501041  2.5300357  2.1774406
 1.7228538  2.403559   1.5173718  0.         1.5285469  0.7558366
 0.83277446 1.4726866 ]"
1012,"[1.8967018  0.         0.         0.         1.8391913  2.6054657
 0.         2.3600793  1.2471517  0.         2.2407792  0.
 0.         0.         0.         0.         0.8118402  0.86611205
 0.88283867 0.93122447 1.7474338  1.5992405  1.534853   2.030623
 1.6084588  1.5098662  1.6772491  0.         0.         1.8937986
 1.0219399  2.220368  ]"
1049,"[0.77196777 0.         0.         0.         1.4228681  1.8702722
 0.         0.         2.1534297  0.         1.0786691  0.
 0.         0.         0.         0.         0.87500846 2.8163776
 1.9561008  0.37636134 2.4148796  0.5368969  1.4785365  1.9635862
 0.75365883 0.7616247  1.7539096  0.         1.7210137  2.112564
 1.7533424  1.1277122 ]"
1074,"[2.0927882  0.         0.         0.         0.8365075  1.5345426
 0.         2.6647744  1.178514   1.5565801  1.446547   0.
 0.         0.         0.         0.         2.4174454  1.7070295
 1.1387172  2.574034   2.7267156  1.4643141  2.6642926  2.6524003
 2.7794988  2.7852173  1.9813275  0.         2.3022895  0.3688565
 1.6993924  0.13320744]"
1077,"[1.2546073  0.         0.         0.         0.63323593 0.70581776
 0.         1.3155843  1.8836586  2.4244788  2.377517   0.
 0.         0.         0.         0.         1.3714129  1.6415071
 2.4982545  3.6292226  0.79050356 2.0008645  2.7729306  2.266855
 3.2696884  0.98723143 2.602792   0.         2.7744875  1.0980031
 1.7304194  1.0111771 ]"
1081,"[1.3248305 0.        0.        0.        1.2032146 1.341722  0.
 1.3656486 1.767011  2.1193829 2.6047907 0.        0.        0.
 0.        0.        1.4340059 1.6395305 1.1157477 2.743743  1.0162728
 1.9626276 1.8211603 2.9380372 2.0624614 1.6224825 2.5344613 0.
 1.1351647 1.3641546 1.9765649 1.1266034]"
1088,"[1.7349774  0.         0.         0.         1.7731013  2.0341773
 0.         1.7467835  1.9298244  2.484812   0.2986591  0.
 0.         0.         0.         0.         2.5867534  1.3933324
 1.9625605  0.848411   1.6941175  3.1096172  1.3463602  2.3133473
 1.2801176  0.43117154 0.3209259  0.         1.0449167  0.4293679
 1.3200654  2.4487348 ]"
1128,"[1.2535193  0.         0.         0.         1.0631154  0.8691308
 0.         1.3111461  2.3021777  1.7799678  0.436473   0.
 0.         0.         0.         0.         1.7641417  1.125422
 2.5029366  1.3629941  1.4934484  1.1687887  0.30238444 1.6807288
 0.66537994 2.5285902  1.9067762  0.         2.0073192  2.0891104
 2.1865199  1.1343864 ]"
1186,"[2.220123   0.         0.         0.         1.017583   3.0680656
 0.         2.064126   1.4602934  1.7670467  1.2279856  0.
 0.         0.         0.         0.         2.0146148  1.1010351
 0.         1.6125844  1.7617646  2.7409933  1.8355346  2.1136289
 1.1796421  1.7543443  0.5209025  0.         2.2606359  0.07017459
 1.8635638  1.0236229 ]"
1191,"[2.111487   0.         0.         0.         2.1758525  0.9588494
 0.         0.51737946 1.5825179  1.4041089  2.9164293  0.
 0.         0.         0.         0.         2.9714723  1.953678
 1.6013278  2.888596   1.569228   1.7805183  2.5629659  2.8674593
 1.0943359  1.5544838  2.02081    0.         2.6806965  0.
 1.3955463  2.0907412 ]"
1195,"[0.76380616 0.         0.         0.         2.1837137  1.4344925
 0.         1.4174898  1.4993701  1.7387446  2.6989083  0.
 0.         0.         0.         0.         0.41447732 2.3359044
 2.1876311  3.4260137  1.9976712  2.3826587  2.3772988  1.0978616
 1.7111905  2.213235   2.3550162  0.         1.7888527  1.8417702
 1.9364266  1.983386  ]"
1203,"[2.1531646  0.         0.         0.         1.6208515  1.803723
 0.         2.4063153  2.8224068  2.776489   1.8117697  0.
 0.         0.         0.         0.         1.6544973  2.0721395
 2.8431003  1.8884866  1.434621   2.0630195  1.6198064  2.9739063
 1.0621164  2.534569   1.9687238  0.         1.6970482  0.48045737
 2.4399097  1.1159571 ]"
1206,"[1.2373636  0.         0.         0.         2.0025303  1.8358064
 0.         1.4983106  1.4985291  2.6121275  1.7988625  0.
 0.         0.         0.         0.         1.5224117  2.2737927
 2.0974278  2.897806   2.304533   0.9776994  1.8750514  1.7918845
 0.73208266 1.5995096  1.4580392  0.         2.3357508  1.7703196
 1.0225499  0.57950336]"
1207,"[2.2520454  0.         0.         0.         1.7161623  1.6938081
 0.         2.116533   2.052299   2.0187917  1.2596993  0.
 0.         0.         0.         0.         0.8014498  1.4401373
 2.1169543  1.063484   1.5882584  1.2999784  1.7859489  1.4147435
 1.0293132  1.9144334  2.1514802  0.         1.9858874  1.4486623
 0.44615805 2.4116704 ]"
1216,"[2.287453   0.         0.         0.         1.389501   1.3713801
 0.         1.4672612  0.30761704 2.6838248  2.9784636  0.
 0.         0.         0.         0.         1.8219583  1.9890223
 2.652457   2.3665862  0.2579209  1.7830614  1.5909557  0.
 0.5141918  1.3292149  2.0432234  0.         1.5951521  2.0134728
 1.4770432  1.3359411 ]"
1225,"[1.5056058  0.         0.         0.         1.2699358  1.1946721
 0.         1.9568217  1.816907   0.5568503  1.6413321  0.
 0.         0.         0.         0.         0.6046342  1.5482221
 1.2262785  0.8275493  1.0720474  1.8612772  0.9430911  0.41345993
 1.0112538  1.4952244  1.9264914  0.         0.9591245  0.
 1.5978731  0.6826972 ]"
1247,"[2.4892447 0.        0.        0.        0.9219412 3.2571204 0.
 1.1987532 2.5879037 1.7061979 2.2764301 0.        0.        0.
 0.        0.        1.888168  2.9012685 3.0205388 3.0174696 2.7403095
 1.7748147 2.3280182 2.564666  1.7862922 2.2210567 2.1760697 0.
 2.54359   1.3246329 1.0862963 1.9684646]"
1252,"[1.1441537  0.         0.         0.         0.89803046 2.7835474
 0.         0.67004716 1.4752326  3.8893664  1.8219209  0.
 0.         0.         0.         0.         1.002414   2.7445178
 2.0456963  3.1714127  1.466049   2.0653014  1.9899256  2.4226418
 2.3172119  1.2753004  2.1462815  0.         2.5095382  0.33814895
 0.91278607 2.2607017 ]"
1258,"[2.37623    0.         0.         0.         1.8507712  2.435654
 0.         2.4804626  1.2152873  0.55463004 2.3565428  0.
 0.         0.         0.         0.         1.775248   1.3328946
 1.8372138  2.6577113  2.0489774  2.610392   3.569367   1.5842066
 1.9591304  1.3760585  1.1973797  0.         1.2049502  0.89483035
 0.9811091  1.2717916 ]"
1264,"[1.3867093  0.         0.         0.         1.5057911  1.8359911
 0.         1.8191352  1.2248249  0.7447642  0.06130441 0.
 0.         0.         0.         0.         1.8388554  1.5323149
 2.5543463  1.7814752  1.6943972  1.4755046  1.6146507  2.1047795
 2.0035682  1.586496   2.2846124  0.         1.2054497  1.2422125
 2.4516878  1.6241086 ]"
1291,"[1.8747183 0.        0.        0.        2.3875647 3.0485153 0.
 3.01081   2.4977648 2.3832858 2.190717  0.        0.        0.
 0.        0.        2.0543497 1.1830384 2.7631834 1.7872804 2.3994262
 2.5409417 1.5429337 2.5131438 1.1987624 2.1710217 2.5720274 0.
 2.6658618 1.87927   1.5295745 1.7705564]"
1309,"[0.76668686 0.         0.         0.         1.3113217  2.018921
 0.         1.5471557  1.4488722  2.0959153  0.3386577  0.
 0.         0.         0.         0.         1.2251415  2.578914
 2.4329367  2.2913296  2.6268206  0.         3.116458   2.1516435
 0.9766622  1.1979179  3.0045128  0.         1.578511   3.8463018
 2.2577345  0.5193917 ]"
1312,"[1.131154   0.         0.         0.         0.8302605  1.8794664
 0.         1.1916735  1.550145   2.8436153  3.003465   0.
 0.         0.         0.         0.         1.7198607  0.04834384
 2.5537002  1.7928914  0.46892232 1.4419898  1.8715252  1.3792655
 0.6731169  0.93041414 1.7242172  0.         1.6741704  1.5710148
 2.4665008  0.8891979 ]"
1324,"[1.0434718  0.         0.         0.         1.6217082  1.4579
 0.         0.70265466 1.2143848  2.718465   1.8898547  0.
 0.         0.         0.         0.         2.7112958  2.8086798
 2.0766277  2.8129032  3.0558705  2.5854795  2.8080556  3.082376
 1.7357669  1.4072948  1.5265387  0.         2.3451746  2.3899963
 2.0849955  1.6945115 ]"
1360,"[2.7136846  0.         0.         0.         0.8603669  1.2705883
 0.         0.96215326 2.2481253  2.1579363  1.8620222  0.
 0.         0.         0.         0.         2.3897178  3.2116802
 3.0189211  1.0317227  0.6402008  2.0522952  1.7212466  1.5322545
 1.8790181  0.8338037  2.6320488  0.         1.5526581  2.2740257
 1.9846427  1.7304353 ]"
1420,"[0.63869894 0.         0.         0.         1.0594804  0.7642487
 0.         2.1647754  0.23918892 0.45096865 0.4405746  0.
 0.         0.         0.         0.         0.7094782  0.57748306
 1.2900102  1.1371878  1.9822316  1.5069168  1.1734341  0.63506883
 1.3107649  1.7083431  1.1930777  0.         0.5076427  1.7192878
 1.1547897  2.8076677 ]"
1429,"[1.0274901  0.         0.         0.         1.6386751  0.23494287
 0.         1.6326089  2.4491732  0.9872345  1.1113722  0.
 0.         0.         0.         0.         2.3820798  1.7577811
 2.0048103  2.4736798  1.3043344  1.8933297  1.6772435  1.7943512
 1.3930016  1.5076787  0.96296775 0.         1.9706974  0.8806031
 1.6678772  1.6317278 ]"
1430,"[1.7042369  0.         0.         0.         1.0904101  0.98295766
 0.         1.4394473  0.7103835  2.6562896  1.5936337  0.
 0.         0.         0.         0.         0.8207227  2.2956247
 1.9302802  1.122579   2.5079496  2.738083   2.624587   0.99375415
 1.9562241  2.5502162  0.58759403 0.         1.316363   2.5586805
 2.662802   1.4053684 ]"
